Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
The Last Druid,Terry Brooks,14.09,4,0,Fantastika
Zoey Punches the Future in the Dick,David Wong,18.29,4,0,Fantastika
Ring Shout,P. Djèlí Clark,20.29,4,0,Fantastika
The Invisible Life of Addie LaRue,V. E. Schwab,22.89,4,0,Fantastika
The Archive of the Forgotten,A. J. Hackwith,19.49,4,0,Fantastika
Can't Get Enough,G. A. Aiken,3.89,4,0,Fantastika
Battle Ground,Jim Butcher,12.79,4,0,Fantastika
Bloodwitch,Susan Dennard,19.59,4,0,Fantastika
A Time of Courage,John Gwynne,20.89,4,0,Fantastika
Come Tumbling Down,Seanan McGuire,23.49,4,0,Fantastika
The Order of the Pure Moon Reflected in Water,Zen Cho,16.99,4,0,Fantastika
To Sleep in a Sea of Stars,Christopher Paolini,23.49,4,0,Fantastika
To Sleep in a Sea of Stars,Christopher Paolini,25.49,4,0,Fantastika
Spells for the Dead,Faith Hunter,14.09,5,0,Fantastika
Providence,Max Barry,9.39,4,0,Fantastika
Looking Glass,Christina Henry,21.49,4,0,Fantastika
Dragon Unleashed,Grace Draven,12.79,4,0,Fantastika
Frank Herbert's Dune Saga Collection: Books 1 - 6,Frank Herbert,90.79,5,0,Fantastika
"Spy, Spy Again",Mercedes Lackey,12.79,4,0,Fantastika
American Demon,Kim Harrison,14.09,4,0,Fantastika
The Girl and the Stars,Mark Lawrence,14.09,4,0,Fantastika
Smoke Bitten,Patricia Briggs,14.09,4,0,Fantastika
Shorefall,Robert Jackson Ben...,21.49,4,0,Fantastika
A Blight of Blackwings,Kevin Hearne,12.79,4,0,Fantastika
The Vanished Birds,Simon Jimenez,12.79,4,0,Fantastika
The Space Between Worlds,Micaiah Johnson,14.79,4,0,Fantastika
Fairy Tales Every Child Should Know,Hamilton Wright Mabie,1.59,4,0,Fantastika
Peace Talks,Jim Butcher,12.79,4,0,Fantastika
The Tyrant Baru Cormorant,Seth Dickinson,27.39,4,0,Fantastika
Mexican Gothic,Silvia Moreno-Garcia,22.89,4,0,Fantastika
Drowned Country,Emily Tesh,13.69,4,0,Fantastika
Prince of Chaos,Roger Zelazny,9.89,4,0,Fantastika
Knight of Shadows,Roger Zelazny,9.89,4,0,Fantastika
Michael Kohlhaas,Heinrich von Kleist,20.89,4,0,Fantastika
A Broken Queen,Sarah Kozloff,16.29,4,0,Fantastika
Riot Baby,Tochi Onyebuchi,18.89,4,0,Fantastika
House of Earth and Blood,Sarah J. Maas,14.89,4,0,Fantastika
The Last Emperox,John Scalzi,11.09,4,0,Fantastika
The Cerulean Queen,Sarah Kozloff,16.29,4,0,Fantastika
The Tyrant,Seth Dickinson,18.89,4,0,Fantastika
Sucker Punch,Laurell K. Hamilton,14.09,4,0,Fantastika
The Lost World,Arthur Conan Doyle,11.89,4,0,Fantastika
The Warlord of Mars,Edgar Rice Burroughs,11.89,4,0,Fantastika
"Thuvia, Maid of Mars",Edgar Rice Burroughs,11.89,4,0,Fantastika
The Chessmen of Mars,Edgar Rice Burroughs,11.89,4,0,Fantastika
The Faery Reel,Nezinomas autorius,17.09,4,0,Fantastika
Thieves' World®,"Joe Haldeman, John...",17.09,4,0,Fantastika
Red Nails,Robert E. Howard,11.89,4,0,Fantastika
The Scarlet Plague,Jack London,11.89,4,0,Fantastika
Phantastes,George MacDonald,11.89,4,0,Fantastika
Restless Slumber,K. J. Sutton,6.39,4,0,Fantastika
Demon in White,Christopher Ruocchio,14.09,5,0,Fantastika
The Doors of Eden,Adrian Tchaikovsky,19.59,4,0,Fantastika
Frankenstein,Mary Shelley,8.09,4,0,Fantastika
Upright Women Wanted,Sarah Gailey,20.89,4,0,Fantastika
Resurgence,C. J. Cherryh,12.79,4,0,Fantastika
Inferno,Donna Grant,10.39,5,0,Fantastika
Docile,K. M. Szpara,21.59,3,0,Fantastika
Harrow the Ninth,Tamsyn Muir,18.89,4,0,Fantastika
The Blind Assassin,Margaret Atwood,14.79,4,0,Fantastika
Ink & Sigil,Kevin Hearne,21.49,4,0,Fantastika
Frankenstein,Mary Wollstonecraf...,5.99,4,0,Fantastika
The Currents of Space,Isaac Asimov,21.49,4,0,Fantastika
"The Stars, Like Dust",Isaac Asimov,7.99,4,0,Fantastika
Pebble in the Sky,Isaac Asimov,21.49,4,0,Fantastika
The End of Eternity,Isaac Asimov,24.89,4,0,Fantastika
A Killing Frost,Seanan McGuire,12.79,4,0,Fantastika
A Dance with Fate,Juliet Marillier,12.79,4,0,Fantastika
Lovecraft Country,Matt Ruff,17.59,4,0,Fantastika
Grimms' Fairy Tales,Jacob Ludwig Carl...,1.59,4,0,Fantastika
Master of Poisons,Andrea Hairston,18.29,3,0,Fantastika
The Phlebotomist,Chris Panatier,9.39,4,0,Fantastika
Architects of Memory,Karen Osborne,16.99,4,0,Fantastika
A Dance with Dragons,George R. R. Martin,12.79,4,0,Fantastika
Heart of Black Ice,Terry Goodkind,12.39,4,0,Fantastika
Small Magics,Ilona Andrews,7.89,4,0,Fantastika
Dust,Hugh Howey,34.09,4,0,Fantastika
Shift,Hugh Howey,34.09,4,0,Fantastika
The Unspoken Name,A. K. Larkwood,16.99,4,0,Fantastika
Blood of Amber,Roger Zelazny,9.89,4,0,Fantastika
Wicked Hour,Chloe Neill,20.19,4,0,Fantastika
Resistance Reborn (Star Wars),Rebecca Roanhorse,14.09,4,0,Fantastika
The Supernova Era,Cixin Liu,12.69,3,0,Fantastika
Trumps of Doom,Roger Zelazny,9.89,4,0,Fantastika
Roc and a Hard Place,Piers Anthony,29.09,4,0,Fantastika
The Time Machine / La Machine à explorer le temps,H. G. Wells,6.49,4,0,Fantastika
WarCraft: War of The Ancients Book Two,Richard A. Knaak,20.29,4,0,Fantastika
Demons Don't Dream,Piers Anthony,30.59,4,0,Fantastika
The Velveteen Rabbit,Margery Williams B...,6.79,4,0,Fantastika
The Fairy Tales of Charles Perrault,Charles Perrault,6.79,4,0,Fantastika
Don Quixoteof La Mancha,Miguel De Cervante...,1.19,4,0,Fantastika
Don Quixoteof La Mancha,Miguel De Cervante...,1.19,4,0,Fantastika
The Harp of Kings,Juliet Marillier,12.79,4,0,Fantastika
The Unkindest Tide,Seanan McGuire,12.79,4,0,Fantastika
Armageddon 2419 A.D.,Philip Francis Nowlan,6.79,3,0,Fantastika
Alice in Wonderland: The Complete Collection,Carroll Lewis Carroll,2.19,4,0,Fantastika
Lord of the World,Robert Hugh Benson,6.79,4,0,Fantastika
The Book of Dragons,Edith Nesbit,6.79,4,0,Fantastika
Five Children and It,E. Nesbit,6.79,4,0,Fantastika
Cry Pilot,Joel Dane,11.39,4,0,Fantastika
The Princess and Curdie,George MacDonald,6.79,4,0,Fantastika
Phantastes: A Faerie Romance for Men and Women,George MacDonald,6.79,4,0,Fantastika
For He Can Creep,Siobhan Carroll,1.89,4,0,Fantastika
George MacDonald: The Complete Novels,MacDonald George M...,0.69,4,0,Fantastika
Priest of Lies,Peter McLean,22.19,4,0,Fantastika
Crowfall,Ed McDonald,16.79,4,0,Fantastika
The Affair of the Mysterious Letter,Alexis Hall,7.99,4,0,Fantastika
The Scarlet Plague,Jack London,11.89,4,0,Fantastika
The Food of the Gods and How It Came to Earth,H. G. Wells,6.79,3,0,Fantastika
In the Days of the Comet,H. G. Wells,6.79,3,0,Fantastika
The War of the Worlds - Unabridged,H. G. Wells,3.19,4,0,Fantastika
The First Men in the Moon,H. G. Wells,6.79,4,0,Fantastika
The Country of the Blind,H. G. Wells,6.79,4,0,Fantastika
The Door in the Wall,H. G. Wells,6.79,4,0,Fantastika
When the Sleeper Wakes,H. G. Wells,6.79,3,0,Fantastika
The Time Machine,H. G. Wells,6.79,4,0,Fantastika
The War of the Worlds,H. G. Wells,6.79,4,0,Fantastika
The Island of Doctor Moreau,H. G. Wells,6.79,4,0,Fantastika
The Invisible Man,H. G. Wells,6.79,4,0,Fantastika
Alice's Adventures in Wonderland,Carroll Lewis Carroll,1.49,4,0,Fantastika
The Marvelous Land of Oz,L. Frank Baum,6.79,4,0,Fantastika
The Emerald City of Oz,L. Frank Baum,6.79,4,0,Fantastika
The Life and Adventures of Santa Claus,L. Frank Baum,6.79,4,0,Fantastika
American Fairy Tales,L. Frank Baum,6.79,4,0,Fantastika
The Wonderful Wizard of Oz,L. Frank Baum,6.79,4,0,Fantastika
Triumphant,Jack Campbell,12.79,4,0,Fantastika
News from Nowhere,William Morris,6.79,3,0,Fantastika
The Devil´s Dictionary,Ambrose Bierce,4.69,4,0,Fantastika
The Hunting of the Snark,Lewis Carroll,6.79,4,0,Fantastika
She,H. Rider Haggard,6.79,4,0,Fantastika
Looking Backward 2000-1887,Edward Bellamy,6.79,3,0,Fantastika
The Invisible Man,H. G. Wells,3.59,4,0,Fantastika
The Time Machine,H. G. Wells,3.59,4,0,Fantastika
The War of the Worlds,H. G. Wells,3.59,4,0,Fantastika
Carmilla,Joseph Sheridan Le...,6.39,4,0,Fantastika
The Phantom of the Opera,Gaston Leroux,4.79,4,0,Fantastika
A Time of Blood,John Gwynne,20.89,4,0,Fantastika
The Tailor of Gloucester,Beatrix Potter,6.79,4,0,Fantastika
The Tale of Mr. Tod,Beatrix Potter,6.79,4,0,Fantastika
The Tale of the Pie and the Patty Pan,Beatrix Potter,6.79,4,0,Fantastika
The Picture of Dorian Gray,Oscar Wilde,3.59,4,0,Fantastika
Peter Pan,J. M. Barrie,5.99,4,0,Fantastika
Twenty Thousand Leagues Under the Seas,Jules Verne,5.99,4,0,Fantastika
Fables,Aesop,17.99,4,0,Fantastika
A Princess of Mars,Edgar Rice Burroughs,5.99,4,0,Fantastika
Ancient Japanese Fairy Tales,Yei Theodora Ozaki,6.79,4,0,Fantastika
The Blackest Heart,Brian Lee Durfee,3.69,4,0,Fantastika
A Short History of the World,Herbert George Wells,5.99,4,0,Fantastika
Through the Looking Glass,Lewis Carroll,6.79,4,0,Fantastika
The World Set Free,Herbert George Wells,5.99,3,0,Fantastika
Dracula,Bram Stoker,6.79,4,0,Fantastika
From the Earth to the Moon,Jules Verne,6.79,4,0,Fantastika
Phantastes,George MacDonald,6.79,4,0,Fantastika
The Light Princess,George MacDonald,6.79,4,0,Fantastika
At the Back of the North Wind,George MacDonald,6.79,4,0,Fantastika
Off on a Comet!,Jules Verne,6.79,4,0,Fantastika
The Sea Fairies,L. Frank Baum,6.79,4,0,Fantastika
The Enchanted Castle,E. Nesbit,6.79,4,0,Fantastika
The Mysterious Key and What It Opened,Louisa May Alcott,6.79,4,0,Fantastika
A House of Pomegranates,Oscar Wilde,6.79,4,0,Fantastika
The Cricket on the Hearth,Charles Dickens,6.79,3,0,Fantastika
The Picture of Dorian Gray,Oscar Wilde,6.79,4,0,Fantastika
The Arabian Nights Entertainments,Andrew Lang,6.79,4,0,Fantastika
The House of the Seven Gables,Nathaniel Hawthorne,6.79,3,0,Fantastika
Beowulf,J. Lesslie Hall,6.79,3,0,Fantastika
The Story of the Treasure Seekers,E. Nesbit,6.79,4,0,Fantastika
The Celtic Twilight,W. B. Yeats,6.79,4,0,Fantastika
The Story of the Amulet,E. Nesbit,6.79,4,0,Fantastika
The Magic City,E. Nesbit,6.79,4,0,Fantastika
All Around the Moon,Jules Verne,6.79,4,0,Fantastika
The Phoenix and the Carpet,E. Nesbit,6.79,4,0,Fantastika
The Railway Children,E. Nesbit,6.79,4,0,Fantastika
Wilhelm Tell,Friedrich Schiller,6.79,3,0,Fantastika
The King in Yellow,Robert W. Chambers,6.79,4,0,Fantastika
Warcraft: War of the Ancients Book One,Richard Knaak,20.29,4,0,Fantastika
StarCraft: The Dark Templar Saga,Christie Golden,20.29,4,0,Fantastika
The Sleeping Beauty,C. S. Evans,6.79,4,0,Fantastika
The Lost World,Arthur Conan Doyle,6.79,4,0,Fantastika
The Prince and the Pauper,Mark Twain,6.79,4,0,Fantastika
The Jungle Book,Rudyard Kipling,6.79,4,0,Fantastika
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,6.79,4,0,Fantastika
A Christmas Carol,Charles Dickens,6.79,4,0,Fantastika
The last Man,Mary Shelley,3.59,3,0,Fantastika
The Princess and the Goblin,George MacDonald,6.79,4,0,Fantastika
The Scarlet Plague,Jack London,6.79,4,0,Fantastika
The Wood Beyond the World,William Morris,6.79,4,0,Fantastika
Before Adam,Jack London,6.79,4,0,Fantastika
The Iron Heel (new classics),Jack London,6.79,4,0,Fantastika
The Mabinogion,Sir Owen Morgan Ed...,6.79,4,0,Fantastika
The Wind in the Willows,Kenneth Grahame,6.79,4,0,Fantastika
Grimm's Fairy Tales,"Jacob Grimm, Wilhe...",6.79,4,0,Fantastika
The Tale of Benjamin Bunny,Beatrix Potter,6.79,4,0,Fantastika
The Norsemen Saga,H. A. Guerber,6.79,4,0,Fantastika
Siege of Stone,Terry Goodkind,13.39,4,0,Fantastika
"Drayden, N: Escaping Exodus",Nicky Drayden,30.59,4,0,Fantastika
The Scribbly Man,Terry Goodkind,8.99,4,0,Fantastika
Cage of Souls,Adrian Tchaikovsky,8.99,4,0,Fantastika
Wasteland,Terry Goodkind,8.99,4,0,Fantastika
Hateful Things,Terry Goodkind,8.99,4,0,Fantastika
The Redemption of Time,Baoshu,8.99,4,0,Fantastika
Radicalized,Cory Doctorow,8.99,4,0,Fantastika
The Cruel Stars,John Birmingham,11.19,4,0,Fantastika
The Fairy Tales of Charles Perrault (Wisehouse Classics Edition - with original color illustrations by Harry Clarke),Charles Perrault,1.39,4,0,Fantastika
No One Noticed the Cat,Anne McCaffrey,3.69,4,0,Fantastika
Love and Other Wild Things,Molly Harper,9.59,4,0,Fantastika
The Haunting of Tram Car 015,P. Djèlí Clark,5.19,4,0,Fantastika
Ignite,Donna Grant,14.99,4,0,Fantastika
Permafrost,Alastair Reynolds,13.69,4,0,Fantastika
Sooner or Later Everything Falls Into the Sea,Sarah Pinsker,13.69,4,0,Fantastika
Lilith - A Romance,George MacDonald,17.39,4,0,Fantastika
Fortuna Sworn,K. J. Sutton,4.79,4,0,Fantastika
Gideon the Ninth,Tamsyn Muir,16.99,4,0,Fantastika
The Road,Cormac McCarthy,17.19,4,0,Fantastika
Silver in the Wood,Emily Tesh,5.19,4,0,Fantastika
The Gurkha and the Lord of Tuesday,Saad Z. Hossain,13.69,4,0,Fantastika
Sisters of the Vast Black,Lina Rather,5.19,4,0,Fantastika
Magic for Liars,Sarah Gailey,18.29,4,0,Fantastika
The Secret Chapter,Genevieve Cogman,17.59,4,0,Fantastika
Salvation Lost,Peter F. Hamilton,20.89,4,0,Fantastika
The Name of All Things,Jenn Lyons,23.49,4,0,Fantastika
The Warship,Neal Asher,19.59,4,0,Fantastika
A Thousand Ships,Natalie Haynes,19.59,4,0,Fantastika
The Ruin of Kings,Jenn Lyons,21.59,4,0,Fantastika
Twenty Thousand Leagues under the Seas,Jules Verne,16.09,4,0,Fantastika
Twenty Thousand Leagues under the Seas,Jules Verne,16.09,4,0,Fantastika
A Memory Called Empire,Arkady Martine,18.29,4,0,Fantastika
Brave the Tempest,Karen Chance,10.69,4,0,Fantastika
Holy Sister,Mark Lawrence,14.09,4,0,Fantastika
Wild Country,Anne Bishop,14.09,4,0,Fantastika
The Stiehl Assassin,Terry Brooks,12.79,4,0,Fantastika
Shattered Bonds,Faith Hunter,12.79,4,0,Fantastika
Terminal Uprising,Jim C. Hines,10.69,4,0,Fantastika
That Ain't Witchcraft,Seanan McGuire,10.69,4,0,Fantastika
Howling Dark,Christopher Ruocchio,14.09,4,0,Fantastika
Fire Season,Stephen Blackmoore,10.69,4,0,Fantastika
God of Broken Things,Cameron Johnston,10.69,4,0,Fantastika
The Forbidden Stars,Tim Pratt,12.79,4,0,Fantastika
Exhalation,Ted Chiang,17.59,4,0,Fantastika
The Future of Another Timeline,Annalee Newitz,18.29,4,0,Fantastika
The City in the Middle of the Night,Charlie Jane Anders,18.89,4,0,Fantastika
The Blacksmith Queen,G. A. Aiken,18.29,4,0,Fantastika
Fever,Donna Grant,16.99,4,0,Fantastika
In an Absent Dream,Seanan McGuire,18.89,4,0,Fantastika
Summoned to Thirteenth Grave,Darynda Jones,18.29,4,0,Fantastika
The Redemption of Time,Baoshu,18.29,4,0,Fantastika
Dooku: Jedi Lost (Star Wars),Cavan Scott,21.49,4,0,Fantastika
A Clash of Kings: The Illustrated Edition,George R. R. Martin,16.09,4,0,Fantastika
The Princess Beard,"Kevin Hearne, Deli...",19.49,4,0,Fantastika
The True Bastards,Jonathan French,21.49,4,0,Fantastika
Beneath the Twisted Trees,Bradley P. Beaulieu,12.79,4,0,Fantastika
A Brightness Long Ago,Guy Gavriel Kay,10.09,4,0,Fantastika
The Case of the Spellbound Child,Mercedes Lackey,12.79,4,0,Fantastika
Atlas Alone,Emma Newman,11.39,4,0,Fantastika
Binti: The Complete Trilogy,Nnedi Okorafor,2.69,4,0,Fantastika
To Green Angel Tower,Tad Williams,36.29,4,0,Fantastika
Dark Age,Pierce Brown,22.19,4,0,Fantastika
A Memory Called Empire,Arkady Martine,17.59,4,0,Fantastika
Eye Spy,Mercedes Lackey,10.69,4,0,Fantastika
Circle of the Moon,Faith Hunter,12.79,4,0,Fantastika
The Mage-Fire War,Jr. Modesitt,14.99,4,0,Fantastika
Darkdawn,Jay Kristoff,18.89,4,0,Fantastika
Before the Coffee Gets Cold,Toshikazu Kawaguchi,18.89,5,1,Fantastika
The Monster of Elendhaven,Jennifer Giesbrecht,18.29,4,0,Fantastika
Gingerbread,Helen Oyeyemi,19.59,3,0,Fantastika
Radicalized,Cory Doctorow,16.99,4,0,Fantastika
The Rise of Magicks,Nora Roberts,10.39,4,0,Fantastika
The Killing Light,Mike Cole,15.69,4,0,Fantastika
"Snow White, Blood Red",Nezinomas autorius,13.69,4,0,Fantastika
The Hive,"Orson Scott Card,...",12.39,4,0,Fantastika
How Rory Thorne Destroyed the Multiverse,K. Eason,26.19,4,0,Fantastika
Ursula K. Le Guin: Always Coming Home (LOA #315),Ursula K. Le Guin,49.09,4,0,Fantastika
The Ruin of Kings,Jenn Lyons,11.09,4,0,Fantastika
The Name of All Things,Jenn Lyons,20.89,4,0,Fantastika
Gods of Jade and Shadow,Silvia Moreno-Garcia,21.49,4,0,Fantastika
A Song for a New Day,Sarah Pinsker,7.99,4,0,Fantastika
Waste Tide,Chen Qiufan,11.19,3,0,Fantastika
Salvaged,Madeleine Roux,7.99,4,0,Fantastika
Salvation Day,Kali Wallace,7.99,4,0,Fantastika
Storm Cursed,Patricia Briggs,4.69,4,0,Fantastika
At Death's Door,Sherrilyn Kenyon,13.69,4,0,Fantastika
The Republic,Joost de Vries,23.49,3,0,Fantastika
Through Fiery Trials,David Weber,16.99,4,0,Fantastika
The Library of the Unwritten,A. J. Hackwith,21.49,4,0,Fantastika
Steel Crow Saga,Paul Krueger,7.99,4,0,Fantastika
A Court of Mist and Fury,Sarah J. Maas,16.39,5,0,Fantastika
Fate of the Fallen,Kel Kade,18.29,4,0,Fantastika
Supernova Era,Cixin Liu,20.29,3,0,Fantastika
The Ascent to Godhood,Neon Yang,5.19,4,0,Fantastika
The Girl in Red,Christina Henry,7.99,4,0,Fantastika
Descendant of the Crane,Joan He,25.99,4,0,Fantastika
Turning Darkness Into Light,Marie Brennan,15.69,4,0,Fantastika
The Cruel Stars,John Birmingham,2.69,4,0,Fantastika
Naamah,Sarah Blake,7.99,3,0,Fantastika
Lord of Light,Roger Zelazny,9.89,4,0,Fantastika
The Monster,Seth Dickinson,19.59,4,0,Fantastika
Richard Wagner's Ring of the Niblung,Richard Wagner,6.79,4,0,Fantastika
Celtic Fairy Tales,Joseph Jacobs,6.79,4,0,Fantastika
The Volsungs Saga,William Morris,6.79,4,0,Fantastika
The Age of Fable,Thomas Bulfinch,6.79,4,0,Fantastika
The Adventures of Robin Hood,Howard Pyle,6.79,4,0,Fantastika
Sir Gibbie,George MacDonald,6.79,4,0,Fantastika
Red nails,Robert E. Howard,6.79,4,0,Fantastika
The Water Babies,Charles Kingsley,6.79,3,0,Fantastika
Melmoth the Wanderer,Charles Robert Mat...,6.79,4,0,Fantastika
Frankenstein or The Modern Prometheus : The 200th Anniversary Edition,Mary Shelley,17.99,4,0,Fantastika
Journey to the Centre of the Earth,Jules Verne,6.39,4,0,Fantastika
"20,000 Leagues Under the Sea",Jules Verne,4.79,4,0,Fantastika
Vril: The Power of the Coming Race,Edward Bulwer Lytton,6.79,3,0,Fantastika
Twenty Thousand Leagues under the Sea,Jules Verne,6.79,4,0,Fantastika
The Aeneid,Virgil Virgil,6.79,4,0,Fantastika
"Flatland: A Romance of Many Dimensions, Illustrated",Edwin A. Abbot,6.79,4,0,Fantastika
The Tale of Peter Rabbit,Beatrix Potter,6.79,4,0,Fantastika
Warcraft: Lord of the Clans,Christie Golden,20.29,4,0,Fantastika
World of Warcraft: Rise of the Horde,Christie Golden,20.29,4,0,Fantastika
Warcraft: The Last Guardian,Jeff Grubb,20.29,4,0,Fantastika
Nordic Gods and Heroes,Padraic Colum,4.79,4,0,Fantastika
Conan the conqueror,Robert E. Howard,6.79,4,0,Fantastika
Irish Fairytales,James Stephens,6.79,4,0,Fantastika
The Diary of Satan,Leonid Andreyev,6.79,4,0,Fantastika
The Happy Prince,Oscar Wilde,6.79,4,0,Fantastika
WarCraft: War of The Ancients # 3: The Sundering,Richard A. Knaak,20.29,4,0,Fantastika
Ignite the Stars,Maura Milan,25.99,4,0,Fantastika
Ravencry,Ed McDonald,16.79,4,0,Fantastika
The City & The City,China Miéville,17.59,4,0,Fantastika
The Earth Will Shake,Robert Anton Wilson,16.69,4,0,Fantastika
Medea,Nezinomas autorius,1.59,4,0,Fantastika
Forever Girl,Rebecca Hamilton,1.59,4,0,Fantastika
Alice around the World : The multilingual edition of Lewis Carroll's Alice's Adventures in Wonderland (English - French - German - Italian),Lewis Carroll,17.99,4,0,Fantastika
Mogworld,Yahtzee Croshaw,14.09,4,0,Fantastika
Artificial Condition,Martha Wells,19.59,4,0,Fantastika
A Court of Frost and Starlight,Sarah J. Maas,14.89,5,1,Fantastika
Taken by the Beast,Conner Kressley,5.59,4,0,Fantastika
The Revolt of the Angels,Anatole France,20.29,4,0,Fantastika
An Exchange of Gifts,Anne McCaffrey,0.59,4,0,Fantastika
The Armored Saint,Mike Cole,18.29,4,0,Fantastika
The Mysterious Island,Jules Verne,2.49,4,0,Fantastika
The Infernal Battalion,Django Wexler,8.99,4,0,Fantastika
Shroud of Eternity,Terry Goodkind,13.39,4,0,Fantastika
"O'Neill, L: Surface Breaks: a reimagining of The Little Merm",Louise O'Neill,26.19,3,0,Fantastika
"Brett, P: Barren",Peter V. Brett,37.39,4,0,Fantastika
"Teller, D: All the Ever Afters",Danielle Teller,32.29,4,0,Fantastika
"Miller, S: Blackfish City",Sam J. Miller,39.09,4,0,Fantastika
"White, E: Dragonshadow",Elle Katharine White,30.59,4,0,Fantastika
"Lostetter, M: Noumenon Infinity",Marina J. Lostetter,28.89,4,0,Fantastika
"O'Dell, C: Study in Honor",Claire O'Dell,22.09,4,0,Fantastika
"Pedreira, D: Gunpowder Moon",David Pedreira,23.79,4,0,Fantastika
HEIDI,Johanna Spyri,6.39,4,0,Fantastika
Theogony and Works and Days,. . Hesiod,0.79,4,0,Fantastika
Star Maker,Olaf Stapledon,1.59,4,0,Fantastika
Silent Blade,Ilona Andrews,2.39,4,0,Fantastika
How to Date Your Dragon,Molly Harper,9.59,4,0,Fantastika
Iron and Magic,Ilona Andrews,16.69,4,0,Fantastika
"The Stormlight Archive, Books 1-3",Brandon Sanderson,25.69,5,0,Fantastika
Dragonfire,Donna Grant,13.69,4,0,Fantastika
Ball Lightning,Cixin Liu,13.39,4,0,Fantastika
Dark Alpha's Hunger,Donna Grant,4.59,4,0,Fantastika
Madame de Villeneuve's Original Beauty and the Beast - Illustrated by Edward Corbould and Brothers Dalziel,Gabrielle-Suzanne...,17.39,4,0,Fantastika
The Barrow Will Send What it May,Margaret Killjoy,5.89,4,0,Fantastika
Debt of Bones,Terry Goodkind,15.69,4,0,Fantastika
Shroud of Eternity,Terry Goodkind,13.09,4,0,Fantastika
Head On,John Scalzi,14.39,4,0,Fantastika
The Monster Baru Cormorant,Seth Dickinson,24.79,4,0,Fantastika
Outcasts of Order,Jr. Modesitt,11.79,4,0,Fantastika
Binti: The Night Masquerade,Nnedi Okorafor,4.59,4,0,Fantastika
The Black God's Drums,P. Djèlí Clark,5.19,4,0,Fantastika
Starless,Jacqueline Carey,18.29,4,0,Fantastika
Nightflyers & Other Stories,George R. R. Martin,7.19,3,0,Fantastika
The Consuming Fire,John Scalzi,17.59,4,0,Fantastika
Spinning Silver,Naomi Novik,17.59,4,0,Fantastika
Salvation,Peter F. Hamilton,18.89,4,0,Fantastika
Head On,John Scalzi,15.69,4,0,Fantastika
